Marker_1,Marker_2,Marker_3,Marker_4,Marker_5,Marker_6,Marker_7,Marker_8,Marker_9,Marker_10,Disease_Likelihood
0.293020285,0.848943555,0.617876692,0.013236858,0.347233518,0.148140861,0.98182939,0.478370307,0.497391365,0.639472516,0.809642328
0.368584606,0.136900272,0.822117733,0.189847912,0.511318983,0.224317029,0.097844484,0.862191517,0.972919489,0.960834658,0.904943213
0.906555499,0.774047333,0.333145152,0.08110139,0.407241171,0.232234142,0.132487635,0.053427182,0.725594364,0.011427459,0.492973604
0.770580749,0.146946645,0.079522083,0.089603034,0.672047807,0.24536721,0.420539467,0.557368791,0.860551174,0.727044263,0.690761274
0.270327905,0.131482799,0.05537432,0.301598634,0.262118149,0.456140567,0.683281336,0.695625446,0.283518847,0.379926956,0.06978828
0.181150962,0.788545512,0.056848076,0.696997242,0.778695396,0.777407562,0.259422564,0.373813138,0.587599635,0.272821902,0.219804398
0.370852799,0.19705428,0.459855884,0.044612301,0.799795885,0.076956447,0.518835149,0.3068101,0.577542949,0.959433341,0.149376195
0.645570244,0.035362436,0.43040244,0.510016852,0.536177495,0.681392511,0.277596098,0.128860565,0.392675677,0.956405723,0.601160584
0.187130892,0.903983955,0.54380595,0.456911422,0.88204141,0.458603962,0.724167637,0.399025322,0.904044393,0.69002502,0.197539894
0.699622054,0.327720402,0.756778643,0.636061055,0.240020273,0.160538822,0.796391475,0.959166603,0.458138827,0.590984165,0.059846316
0.857722644,0.457223453,0.951874477,0.575751162,0.820767121,0.908843718,0.815523819,0.159414463,0.628898439,0.398434259,0.302207283
0.062712952,0.424032252,0.258684067,0.849038308,0.033304627,0.958982722,0.355368848,0.35670689,0.016328503,0.185232325,0.677212429
0.401259501,0.929291417,0.09961493,0.945301533,0.869488531,0.454162397,0.326700882,0.232744129,0.614464706,0.033074591,0.577863724
0.015606064,0.428795722,0.068074074,0.251940988,0.221160915,0.253191194,0.131055231,0.012036223,0.115484297,0.61848026,0.330724965
0.974256213,0.990345002,0.409054095,0.162954426,0.638761757,0.490305347,0.989409777,0.065304207,0.783234438,0.288398497,0.833478876
0.24141862,0.662504572,0.246063185,0.665859118,0.517308517,0.424088988,0.554687809,0.28705152,0.706574706,0.414856869,0.276269108
0.36054556,0.828656915,0.924966912,0.046007311,0.232626993,0.348519369,0.814966479,0.985491428,0.968971705,0.904948346,0.260547638
0.296556265,0.992011243,0.249420041,0.105906155,0.950952611,0.233420255,0.689768265,0.058356359,0.730709099,0.881720212,0.559947411
0.272436895,0.379056896,0.374296183,0.748788258,0.237807243,0.171853099,0.449291649,0.304468407,0.839189122,0.237741826,0.47821564
0.502389457,0.9425836,0.633997698,0.867289405,0.940209689,0.750764862,0.69957506,0.967965567,0.99440079,0.451821683,0.445972661
0.070869778,0.292794031,0.152354706,0.417486375,0.131289328,0.604117804,0.382808059,0.895385884,0.967794672,0.546884902,0.155785619
0.27482357,0.592230419,0.896761158,0.406733346,0.552078277,0.271652768,0.455444149,0.401713535,0.248413465,0.505866384,0.504646192
0.310380826,0.373034864,0.524970442,0.750595023,0.333507466,0.924158767,0.862318547,0.048690296,0.253642524,0.446135513,0.259018917
0.104627889,0.348475989,0.740097526,0.680514481,0.622384429,0.710528403,0.204923687,0.341698115,0.676242482,0.879234763,0.392179883
0.543678054,0.282699651,0.030235258,0.710336829,0.007884104,0.37267907,0.530537215,0.922111462,0.089494545,0.405942322,0.733570448
0.0243132,0.342610984,0.622231059,0.279067948,0.20974995,0.115703233,0.577140244,0.695270006,0.671957141,0.948861021,0.936862826
0.002703214,0.647196654,0.600392237,0.58873961,0.96277032,0.016871673,0.696482431,0.81367865,0.509807197,0.33396487,0.773862965
0.790840163,0.097242926,0.442035638,0.519952375,0.693956411,0.090885732,0.227759502,0.410301563,0.623294673,0.886960781,0.405633895
0.618826168,0.133461471,0.980580133,0.871785735,0.502720761,0.922347982,0.541380794,0.923306068,0.829897369,0.96828641,0.593033139
0.919782811,0.036033817,0.174772004,0.389134677,0.952142697,0.300028919,0.160467644,0.886304666,0.446394415,0.907875594,0.746497816
0.160230466,0.661117512,0.440263753,0.076486769,0.696463145,0.247398756,0.039615523,0.059944298,0.061078537,0.907732957,0.41422105
0.739883918,0.898062357,0.672582311,0.528939929,0.304446364,0.997962251,0.362189059,0.470648949,0.378245175,0.979526929,0.360248159
0.174658385,0.327988001,0.680348666,0.063207618,0.607249374,0.477646503,0.283999977,0.238413281,0.514512743,0.367927581,0.135243296
0.456519891,0.337477382,0.970493694,0.133439432,0.096803953,0.343391729,0.591026901,0.659176472,0.397256747,0.999277994,0.736260801
0.351892996,0.721406668,0.637582695,0.813053863,0.976225663,0.889793656,0.764561974,0.698248478,0.33549817,0.147685578,0.838508591
0.062636003,0.241901704,0.432281481,0.521996274,0.773083554,0.958740923,0.11732048,0.10700414,0.589694723,0.745398074,0.316584411
0.84815038,0.93583208,0.983426242,0.399801692,0.380335184,0.147808677,0.684934439,0.656761958,0.862062596,0.097257995,0.783507766
0.497776908,0.58108193,0.24155704,0.169025406,0.859580836,0.058534922,0.470620904,0.115834001,0.457058761,0.979962326,0.610213058
0.423706353,0.857124918,0.117315564,0.271252077,0.403792741,0.39981214,0.671383479,0.344718127,0.713766868,0.639186899,0.784083046
0.399161145,0.431760128,0.6145277,0.07004219,0.822406738,0.653421161,0.726342464,0.536923001,0.110477111,0.405035613,0.411337383
0.405373583,0.32104299,0.029950325,0.737254243,0.109784458,0.606308133,0.703217496,0.634786323,0.959142252,0.103298155,0.747576364
0.867167159,0.029190235,0.534916855,0.404243618,0.52418386,0.365099877,0.190566915,0.019122897,0.518149814,0.842776863,0.408509118
0.373215956,0.222863818,0.080532003,0.085310923,0.221396446,0.100014061,0.265039698,0.066149462,0.065604867,0.85627618,0.088757985
0.162120261,0.559682406,0.773455544,0.456409565,0.153368878,0.199596142,0.432984206,0.528234089,0.349440292,0.7814796,0.550578918
0.751021649,0.927211807,0.028952549,0.895691291,0.392568788,0.878372495,0.690784776,0.987348757,0.759282452,0.364544626,0.454328726
0.501063173,0.376389155,0.364911836,0.260904499,0.495970295,0.681739945,0.277340271,0.524379811,0.117380294,0.159845287,0.252879887
0.046806355,0.970731443,0.003860352,0.178579968,0.612866753,0.081369599,0.881896503,0.719620158,0.966389971,0.507635547,0.892113335
0.300403683,0.549500573,0.930818717,0.520761437,0.267207032,0.877398789,0.371918749,0.00138335,0.247685022,0.318233509,0.382853306
0.858777468,0.458503167,0.444587288,0.336102266,0.880678123,0.945026777,0.991890329,0.376741267,0.966147446,0.79187957,0.039126111
0.675689148,0.244889479,0.216457261,0.166047825,0.92275661,0.294076662,0.453094245,0.493957834,0.778171595,0.844234962,0.38213574
0.139072701,0.42690436,0.842854888,0.818033306,0.102413758,0.156383349,0.304198692,0.075359069,0.424663003,0.107617705,0.424509808
0.568217594,0.24655694,0.596433065,0.117525643,0.975883868,0.932561204,0.391796939,0.242178594,0.250398213,0.483393535,0.861637723
0.039992802,0.639705106,0.408302908,0.377406573,0.809364971,0.70903546,0.954333815,0.35193624,0.897542765,0.769967186,0.799183208
0.357424652,0.621665436,0.288569958,0.874399917,0.112427317,0.212434361,0.183033292,0.403026002,0.74523296,0.526907449,0.199966586
0.487676324,0.000545965,0.425401725,0.063553775,0.208253252,0.932393939,0.215398204,0.858337639,0.802893372,0.159146237,0.839029226
0.605711957,0.115661872,0.727888158,0.637462277,0.811938562,0.479384549,0.914863088,0.049348947,0.292888565,0.715052597,0.247927228
0.418109212,0.172951354,0.107210745,0.817339111,0.473142978,0.882283672,0.733289134,0.409726206,0.373511014,0.515638347,0.341934148
0.889059953,0.73727858,0.005152964,0.694157851,0.919507407,0.71045576,0.177005782,0.483518127,0.140316018,0.358995278,0.076818454
0.937117042,0.923305308,0.282836852,0.339631044,0.600212868,0.963197295,0.147801334,0.256916644,0.873556827,0.491892232,0.055356313
0.898961092,0.185517898,0.532668587,0.326269633,0.31654256,0.446876964,0.433077449,0.35734688,0.91497077,0.731744185,0.680860121
0.727546991,0.28991345,0.577709424,0.779179433,0.795590369,0.344530461,0.770872757,0.735893897,0.141506486,0.865945469,0.923341085
0.44132147,0.486410449,0.448369179,0.567846001,0.621169247,0.498179566,0.866788543,0.627734756,0.401427949,0.416691757,0.493016854
0.810838615,0.348191943,0.211454796,0.059383188,0.876026848,0.918546451,0.120120182,0.334473741,0.17537207,0.115898469,0.844093712
0.899866743,0.056877259,0.980485663,0.096450861,0.863470649,0.566506107,0.367917488,0.342342377,0.757364143,0.314573295,0.79375125
0.657318917,0.517326084,0.484965645,0.901162171,0.554645059,0.826861603,0.725573534,0.038557246,0.773110053,0.21687025,0.664678723
0.903149647,0.042924191,0.333072034,0.099732947,0.475589117,0.820022436,0.29818736,0.150934897,0.330267036,0.813880142,0.978228931
0.140383958,0.227362449,0.068851964,0.705710044,0.395233244,0.310839977,0.71862639,0.335977542,0.727771273,0.815199395,0.802187921
0.217662843,0.973818697,0.162357948,0.290840907,0.179795291,0.345505656,0.480060888,0.522175869,0.853606042,0.889447909,0.274844394
0.220103861,0.622894032,0.111496057,0.45896986,0.322333538,0.316500745,0.482584242,0.729827636,0.069182659,0.879173338,0.789014246
0.734813775,0.176499389,0.939160909,0.506312224,0.999808578,0.197259474,0.534908198,0.290248043,0.304173557,0.591065381,0.692661646
0.921719067,0.805263856,0.723941399,0.559173782,0.922298504,0.492361407,0.873832178,0.833981644,0.213835347,0.771225463,0.399520447
0.012171157,0.322829538,0.229567445,0.506862958,0.736853162,0.097676367,0.514922202,0.938412022,0.228646551,0.677141144,0.07679747
0.592880271,0.010063696,0.475826196,0.708770391,0.043975432,0.879521483,0.520081417,0.030661048,0.224413612,0.953675696,0.21435953
0.582319733,0.107472568,0.287544502,0.456703626,0.020950069,0.411615514,0.489458635,0.243677875,0.588639,0.75324012,0.797237892
0.235834224,0.6204999,0.639622243,0.948540301,0.778276167,0.84834527,0.490419908,0.185348587,0.995815293,0.129355761,0.248485288
0.471457319,0.068093099,0.943850857,0.964924941,0.719389062,0.349992844,0.254382401,0.265303325,0.127294025,0.525808953,0.997857983
0.141817276,0.316730667,0.626706476,0.72754361,0.024272705,0.430115984,0.652124595,0.853245976,0.475324782,0.969205872,0.69398814
0.265632548,0.013508707,0.483752865,0.256113795,0.823717672,0.232772672,0.310629218,0.791227431,0.715143252,0.558051237,0.477222481
0.704948062,0.418636864,0.005310048,0.011355129,0.511221788,0.08329098,0.05107548,0.965516639,0.85900264,0.152027227,0.57043669
0.000664219,0.941667795,0.278325298,0.185897603,0.691508108,0.108903739,0.264649598,0.97509468,0.639462774,0.520677791,0.610872724
0.397918615,0.774500955,0.140957477,0.967337802,0.861123008,0.617656983,0.04290619,0.700855649,0.913284341,0.524577067,0.96894482
0.354224822,0.120277345,0.754901104,0.885021851,0.100251744,0.758984555,0.017060486,0.967054918,0.615058021,0.552439059,0.161741195
0.295949834,0.929291672,0.265905627,0.828146613,0.985108679,0.783396646,0.51898992,0.066074264,0.472413789,0.438255947,0.272395803
0.202796041,0.423587637,0.357757884,0.163684261,0.441374143,0.262799956,0.522062421,0.03516006,0.90623142,0.816364306,0.709591048
0.552581333,0.851808583,0.962395074,0.110522294,0.630831808,0.997994001,0.987889169,0.603322992,0.12802087,0.583192831,0.239857983
0.002064636,0.198911335,0.95612316,0.330440573,0.638390106,0.280859495,0.947821887,0.72855873,0.329651158,0.791761421,0.871297162
0.108165524,0.39231894,0.221218128,0.683726447,0.102446282,0.397025832,0.27664973,0.506342919,0.349897681,0.706410578,0.346534176
0.024577024,0.633986921,0.23057129,0.268709029,0.800255604,0.955568394,0.31655021,0.82680527,0.103990838,0.633981653,0.1808394
0.7510323,0.155977928,0.426002388,0.892707164,0.103578463,0.018096358,0.590585379,0.435531541,0.798689249,0.923455538,0.047620761
0.299153645,0.388404117,0.486272086,0.58815146,0.98385383,0.697330251,0.389548507,0.263767686,0.944625718,0.135548433,0.59559504
0.720265853,0.925395025,0.664665587,0.42305444,0.19899094,0.367475322,0.706871809,0.649534224,0.927976167,0.866860914,0.82528219
0.816150752,0.911450875,0.276337153,0.36952354,0.379893904,0.560450589,0.66821823,0.286716683,0.019462467,0.399222384,0.273793111
0.30852796,0.942184719,0.888265041,0.860310678,0.652999761,0.344289165,0.548849267,0.815225041,0.098610369,0.80107488,0.917539486
0.041179791,0.816421031,0.807563804,0.051007309,0.627160711,0.502453074,0.169819503,0.148378938,0.773259126,0.567692749,0.75773427
0.982999135,0.982247777,0.992666993,0.118615518,0.938256137,0.244569609,0.45821226,0.757406556,0.203620932,0.566311606,0.061300682
0.185816748,0.104736107,0.116558612,0.357639035,0.004654837,0.424853921,0.664197105,0.401688185,0.085794601,0.062688862,0.572632997
0.278116513,0.169312691,0.965094973,0.151230225,0.805462437,0.586107942,0.56928692,0.512080716,0.971763076,0.363844775,0.56744094
0.787915751,0.555294107,0.395633668,0.955465933,0.598315969,0.118916942,0.417539201,0.781581728,0.693747023,0.91634033,0.202372305
0.259377384,0.758193716,0.459875207,0.573609747,0.955046681,0.97928632,0.861590964,0.359097088,0.887700836,0.638609178,0.334544379
0.42999678,0.035742683,0.770128124,0.502105581,0.786188499,0.748022799,0.793567368,0.300651159,0.800798599,0.548846328,0.458278894
0.4733262,0.675125914,0.021358683,0.102316816,0.292177365,0.98299011,0.139745779,0.330596301,0.051053065,0.33126888,0.048077821
0.320326287,0.946807171,0.845154087,0.382764219,0.024769058,0.831031114,0.660536177,0.152364484,0.996071271,0.100233437,0.149776409
0.867114542,0.294266164,0.435353466,0.795456527,0.677508356,0.937864374,0.621140325,0.097810161,0.884360363,0.769155525,0.164004389
0.711870451,0.053733547,0.396222745,0.167435819,0.821903908,0.700528623,0.883077597,0.966575107,0.774747614,0.994233083,0.379235754
0.614769886,0.037129604,0.014251515,0.342103875,0.823471719,0.866134706,0.960812529,0.065121469,0.044571111,0.913283596,0.747357459
0.305046698,0.557987401,0.982444883,0.400448535,0.665871398,0.400879564,0.768194664,0.527714726,0.237523138,0.271306101,0.831303659
0.258059213,0.532320328,0.703189016,0.9492799,0.694087375,0.781192844,0.168926116,0.374062625,0.41378022,0.68638023,0.162849046
0.295891976,0.303291921,0.355889155,0.810302082,0.57759009,0.07527728,0.0782461,0.371286944,0.766591051,0.688683426,0.751906036
0.707982355,0.767210066,0.287152713,0.548256282,0.54335264,0.739632501,0.956870569,0.277989945,0.793281673,0.659970549,0.670709958
0.580237871,0.774879779,0.944032466,0.036691418,0.147400103,0.756287232,0.083791353,0.516123701,0.219860777,0.274295704,0.890687392
0.701840483,0.030192773,0.873319428,0.444478955,0.502393294,0.540047964,0.645544295,0.344856587,0.101107491,0.318378937,0.968791254
0.168142118,0.556133179,0.318028631,0.958067178,0.965734278,0.620125881,0.617497268,0.985378565,0.887283151,0.765069949,0.124460609
0.313590612,0.365539028,0.201266766,0.487148127,0.990368522,0.912150953,0.118349434,0.025190289,0.898637668,0.537170128,0.080673861
0.200189888,0.67365327,0.644223178,0.122085607,0.259600233,0.060077964,0.209860474,0.132305675,0.193236292,0.685467146,0.799730129
0.049499744,0.101854615,0.134173638,0.316541121,0.298750311,0.255063785,0.750536653,0.998022788,0.533977924,0.944202718,0.162170873
0.396610112,0.106682447,0.408773829,0.296127773,0.493406962,0.657043677,0.461050219,0.935160512,0.884764822,0.701977595,0.194574524
0.489684912,0.131687282,0.397013667,0.704401539,0.284885521,0.103988078,0.907898458,0.70905081,0.615276427,0.792498906,0.882035923
0.835646038,0.483458998,0.881188251,0.916419011,0.271551095,0.60754536,0.526584029,0.537945779,0.937663094,0.305188703,0.938964897
0.983433978,0.902131215,0.458722889,0.817453264,0.769046994,0.67789497,0.319833889,0.196450992,0.671527697,0.842973296,0.318471244
0.016252789,0.642803375,0.442873025,0.898087755,0.321472931,0.474184812,0.514767104,0.140439521,0.712892303,0.830476345,0.8421681
0.057909277,0.291388821,0.038044682,0.956544105,0.667168821,0.964200419,0.531494278,0.802068524,0.374413984,0.353819033,0.85885691
0.378267817,0.657862134,0.359453151,0.900367452,0.983274865,0.030426515,0.19362329,0.112249993,0.042364047,0.227740993,0.605390481
0.44679332,0.836990365,0.221824031,0.493945256,0.929618739,0.667214707,0.79807902,0.55099397,0.980466459,0.588662155,0.566088448
0.045510714,0.1979828,0.404773629,0.601277173,0.771930867,0.413086126,0.710058305,0.789869503,0.317260197,0.97927024,0.575838409
0.649656495,0.880998061,0.555937689,0.741603107,0.770544062,0.908248379,0.150349757,0.558283424,0.428378513,0.923159021,0.301289188
0.105094694,0.982573889,0.875451324,0.073826282,0.490966386,0.7175595,0.738151546,0.906494125,0.799865436,0.31093038,0.618867039
0.498434786,0.701785763,0.138436841,0.193990798,0.481042448,0.298245799,0.86255925,0.586277322,0.348665198,0.848833026,0.243580271
0.804878449,0.998354877,0.847307688,0.414456535,0.127498882,0.840640908,0.059757918,0.350271207,0.919737981,0.960766473,0.17763229
0.640564594,0.688648317,0.042454489,0.514480341,0.546868179,0.340100746,0.068596835,0.2289076,0.357983937,0.435141987,0.412950454
0.590926726,0.722391519,0.317631873,0.32895376,0.019691643,0.04087486,0.257821694,0.740244998,0.62831383,0.769789021,0.705780423
0.768919436,0.856567468,0.720319266,0.979010919,0.898825219,0.586717166,0.58815767,0.03426704,0.998526578,0.131575997,0.621427687
0.740347197,0.821015195,0.373054529,0.196852055,0.098759887,0.748606006,0.452653529,0.713717759,0.915407649,0.146583736,0.964882079
0.919171001,0.41162646,0.30526701,0.943062261,0.990651693,0.198892218,0.656838347,0.106495314,0.650914004,0.827313228,0.646455911
0.684498547,0.417333142,0.38306636,0.393122415,0.589711818,0.88156727,0.929066157,0.05352962,0.181622395,0.112224316,0.14131405
0.193334641,0.346607811,0.506531683,0.629461227,0.732142219,0.890111541,0.989088437,0.662856479,0.845364519,0.778038847,0.161218213
0.307532039,0.87569227,0.042763138,0.000367344,0.273732629,0.46209753,0.638362895,0.101770267,0.673010134,0.801815867,0.09306714
0.18531292,0.415125255,0.51998499,0.451807018,0.799829931,0.960522398,0.798953164,0.077992818,0.804935572,0.066596332,0.191173765
0.235970385,0.153096897,0.197519107,0.528315127,0.671689858,0.470321282,0.959695639,0.24029232,0.76314023,0.870182179,0.597950901
0.562066111,0.456222502,0.596184447,0.42880977,0.555193882,0.416933952,0.40046971,0.695346468,0.092851213,0.166542073,0.838286475
0.851198472,0.771077347,0.281453727,0.377268933,0.926026507,0.818077225,0.6143463,0.221490179,0.044251971,0.431257847,0.893867652
0.672627139,0.828480491,0.852689006,0.032775901,0.244157034,0.339094588,0.188732211,0.802975378,0.767465763,0.51683304,0.400043887
0.982926478,0.144058541,0.899651703,0.116463254,0.163181706,0.6962192,0.109569692,0.565845095,0.420233536,0.728473966,0.558583029
0.900675239,0.769871515,0.849689876,0.032945449,0.310195498,0.515433087,0.415953315,0.231254953,0.307874098,0.94543097,0.809199592
0.29418088,0.35390411,0.003709774,0.845077627,0.154840703,0.204144276,0.255264517,0.884622057,0.206451411,0.797526361,0.312070521
0.80804934,0.927020569,0.115561314,0.217278972,0.742898292,0.196000754,0.286329547,0.16674158,0.172696686,0.481553355,0.595669004
0.109683062,0.321697618,0.42659391,0.024548117,0.388333166,0.094122436,0.493578531,0.825738189,0.818422162,0.080448516,0.174082511
0.601227758,0.834586382,0.237972543,0.761926511,0.890764346,0.806124151,0.107301032,0.00906,0.19172411,0.270477341,0.476540341
0.616182991,0.384273175,0.703407031,0.353074961,0.154425425,0.312689843,0.884324226,0.958532344,0.207512734,0.788468387,0.17307226
0.273348737,0.887131543,0.165545613,0.665959919,0.084211265,0.973893324,0.700633345,0.841815739,0.566669339,0.476801364,0.46242639
0.621882391,0.528741512,0.469384355,0.759450251,0.178200955,0.171172048,0.431842651,0.320747916,0.074124518,0.844470492,0.396819692
0.771602807,0.5439215,0.979324537,0.072600067,0.766669301,0.266370392,0.36859892,0.219279385,0.789037891,0.144240102,0.433264824
0.840016698,0.661577648,0.059023245,0.810981732,0.627755716,0.90498232,0.748722306,0.561120927,0.836547181,0.278050238,0.243712226
0.546950062,0.29361682,0.968204391,0.226196301,0.01573824,0.325854842,0.502509397,0.028362934,0.5592483,0.874282775,0.136043342
0.704732194,0.622968323,0.955961751,0.958279334,0.82426647,0.607741847,0.487764559,0.013316113,0.606261906,0.989088075,0.275665328
0.81810105,0.340604644,0.152047025,0.784058614,0.743937821,0.967046792,0.874842362,0.555662625,0.101284247,0.483500658,0.239580039
0.313695054,0.512408482,0.301701575,0.861822992,0.844327014,0.315465157,0.599581346,0.430180858,0.909092757,0.187360901,0.734296203
0.697728402,0.970375328,0.17527552,0.201966428,0.693723339,0.779153925,0.490549055,0.609686465,0.212682409,0.476614229,0.716975073
0.112071881,0.321421925,0.284779705,0.44462536,0.930126362,0.181267662,0.401388247,0.615597219,0.946557086,0.133148192,0.584482994
0.917876617,0.081053789,0.480741397,0.454589867,0.209602729,0.347459668,0.454165268,0.865211463,0.955064145,0.518925679,0.091333798
0.87009979,0.608171586,0.349087342,0.194194208,0.413134772,0.522824283,0.044443388,0.145841166,0.600184424,0.225001595,0.566261854
0.837326376,0.32694225,0.104834207,0.083530589,0.937123021,0.118020311,0.140909764,0.862666058,0.25428813,0.665951411,0.079237026
0.816725687,0.60718064,0.957488543,0.708882899,0.11275151,0.558410027,0.718186526,0.80195724,0.026321335,0.718878915,0.018173019
0.825680821,0.746833811,0.512349146,0.458020963,0.549418583,0.704643699,0.922914291,0.617035211,0.887834306,0.701256847,0.352596115
0.068336377,0.50082819,0.286486348,0.285174928,0.355927551,0.314732772,0.57860998,0.6836015,0.268749387,0.129762623,0.240544919
0.058808721,0.575752845,0.186130166,0.009247994,0.927753079,0.537140419,0.09244818,0.842921112,0.983202738,0.448600662,0.594647681
0.042489608,0.117545941,0.381653747,0.885522637,0.148038679,0.823990094,0.01497626,0.457388699,0.644397141,0.060379482,0.928642488
0.614762751,0.944404121,0.16025992,0.729611383,0.609093898,0.185116389,0.006203415,0.009284451,0.532092409,0.94277941,0.719852028
0.644298627,0.714299846,0.493865487,0.581888943,0.126367525,0.87682062,0.760792629,0.998198953,0.297722948,0.227017772,0.767360862
0.125161658,0.964209757,0.780885185,0.166324614,0.552686471,0.413768208,0.151486008,0.162072985,0.963469995,0.304964183,0.95089311
0.941439292,0.075610673,0.460803042,0.129619049,0.004787385,0.553766074,0.113894105,0.722024531,0.698116376,0.176332907,0.634091081
0.941742143,0.721043408,0.297970264,0.709233764,0.731930278,0.342226331,0.375588562,0.359106508,0.616618444,0.900410147,0.577730941
0.173193236,0.87519961,0.027653157,0.660338596,0.414438873,0.791281552,0.721198113,0.480107807,0.643864037,0.501773131,0.601867976
0.811518471,0.476083986,0.52315599,0.250520586,0.605043017,0.302904809,0.577284015,0.169678116,0.159469092,0.417029741,0.865805257
0.426819515,0.268109265,0.13159685,0.039210539,0.025231827,0.27155029,0.461853442,0.726243281,0.474871701,0.904050819,0.388099035
0.035219805,0.180660622,0.338514493,0.577496188,0.852736158,0.350201952,0.267988683,0.061889169,0.821303478,0.379666443,0.795336225
0.571550195,0.983555418,0.001594571,0.145450141,0.779110994,0.805127485,0.769247119,0.536998891,0.978856981,0.39618456,0.652256935
0.601943698,0.063369005,0.40985745,0.722500088,0.238738841,0.943827589,0.686783368,0.287575383,0.768998923,0.083164772,0.304571551
0.974774423,0.049285259,0.933455891,0.252853878,0.757824108,7.37E-05,0.254240089,0.749100607,0.532336071,0.11495215,0.013688411
0.393629746,0.375549355,0.568162244,0.667977072,0.840830242,0.497231397,0.392021717,0.143976534,0.804822965,0.713370405,0.20991999
0.408677397,0.51843231,0.665182844,0.16480559,0.027197794,0.317503699,0.59558502,0.486606091,0.692554627,0.819689806,0.699988765
0.488442467,0.134267024,0.850628,0.574990327,0.739937481,0.704664654,0.968211771,0.295307322,0.705306773,0.365676333,0.57969031
0.395410721,0.230594637,0.344010176,0.948296752,0.292570847,0.245990606,0.583137978,0.258035957,0.473385726,0.834176257,0.2745947
